time, alt, vknot, gvw, DYNANG, Nmr, Ntr, Nt, N1, N2, N3, Qmr, Qtr, Q1, Q2, Q3, qgas1, qgas2, qgas3, qtotload, qmrload, qtrload
0.36, 3000, 0.01, 46000, 70, 14350.1, 14346.7, 14339.5, 14339.2, 14339.2, 14339.2, 3687.6, 308.629, 1328.94, 1329.02, 1328.94, 1330.27, 1330.27, 1330.27, 3728.96, 3415.9, 313.065,
0.366, 3000, 0.01, 46000, 70, 14351.8, 14345.7, 14339.6, 14339.3, 14339.3, 14339.3, 3685.74, 306.583, 1327.34, 1327.41, 1327.34, 1330.27, 1330.27, 1330.27, 3728.56, 3415.48, 313.081,
0.372, 3000, 0.01, 46000, 70, 14353.5, 14344.6, 14339.7, 14339.5, 14339.5, 14339.5, 3683.62, 304.89, 1325.92, 1325.97, 1325.92, 1330.27, 1330.27, 1330.27, 3728.17, 3415.07, 313.102,
0.378, 3000, 0.01, 46000, 70, 14355.2, 14343.4, 14340, 14339.7, 14339.7, 14339.7, 3681.25, 303.619, 1324.66, 1324.67, 1324.66, 1330.27, 1330.27, 1330.27, 3727.79, 3414.66, 313.126,
0.384, 3000, 0.01, 46000, 70, 14356.9, 14342.1, 14340.3, 14340.1, 14340, 14340.1, 3678.66, 302.826, 1323.44, 1323.41, 1323.44, 1330.27, 1330.27, 1330.27, 3727.41, 3414.26, 313.153,
0.39, 3000, 0.01, 46000, 70, 14358.6, 14340.7, 14340.7, 14340.4, 14340.4, 14340.4, 3675.85, 302.547, 1322.25, 1322.19, 1322.25, 1330.27, 1330.27, 1330.27, 3727.04, 3413.86, 313.182,
0.396, 3000, 0.01, 46000, 70, 14360.2, 14339.4, 14341.1, 14340.9, 14340.9, 14340.9, 3672.84, 302.792, 1321.21, 1321.14, 1321.21, 1330.27, 1330.27, 1330.27, 3726.68, 3413.47, 313.211,
0.402, 3000, 0.01, 46000, 70, 14361.8, 14338.2, 14341.5, 14341.4, 14341.4, 14341.4, 3669.63, 303.559, 1320.35, 1320.28, 1320.35, 1330.27, 1330.27, 1330.27, 3726.32, 3413.08, 313.24,
0.408, 3000, 0.01, 46000, 70, 14363.4, 14337.1, 14342.1, 14341.9, 14341.9, 14341.9, 3666.25, 304.835, 1319.58, 1319.53, 1319.58, 1330.27, 1330.27, 1330.27, 3725.97, 3412.7, 313.267,
0.414, 3000, 0.01, 46000, 70, 14364.9, 14336.2, 14342.6, 14342.5, 14342.5, 14342.5, 3662.7, 306.586, 1318.85, 1318.84, 1318.85, 1330.27, 1330.27, 1330.27, 3725.62, 3412.33, 313.291,
0.42, 3000, 0.01, 46000, 70, 14366.4, 14335.5, 14343.2, 14343.1, 14343.1, 14343.1, 3659, 308.76, 1318.21, 1318.23, 1318.21, 1330.27, 1330.27, 1330.27, 3725.27, 3411.96, 313.311,
0.426, 3000, 0.01, 46000, 70, 14367.9, 14335, 14343.8, 14343.7, 14343.7, 14343.7, 3655.14, 311.292, 1317.68, 1317.74, 1317.68, 1330.27, 1330.27, 1330.27, 3724.92, 3411.6, 313.326,
0.432, 3000, 0.01, 46000, 70, 14369.4, 14334.9, 14344.5, 14344.4, 14344.4, 14344.4, 3651.15, 314.111, 1317.21, 1317.28, 1317.21, 1330.27, 1330.27, 1330.27, 3724.58, 3411.24, 313.336,
